t_s,theta_deg,alpha_deg,alpha_dot_hat,theta_dot_hat,u_fb,u_fric,u_total,dt_ms
0.009,0.00,-1.76,-0.577,0.403,-0.352,0.097,-0.255,2.9
0.012,0.00,-1.76,-0.121,0.053,-0.399,0.033,-0.366,5.9
0.016,0.00,-1.76,0.652,-0.517,-0.180,-0.128,-0.309,3.8
0.016,0.00,-1.76,0.685,-0.542,-0.169,-0.129,-0.297,0.2
0.020,-0.02,-1.76,1.260,-0.970,0.025,-0.129,-0.104,3.8
0.020,-0.02,-1.76,1.261,-0.972,0.025,-0.129,-0.104,0.2
0.024,-0.04,-1.58,1.317,-1.026,0.064,-0.129,-0.065,3.8
0.024,-0.04,-1.58,1.305,-1.018,0.059,-0.129,-0.069,0.3
0.028,-0.11,-1.58,1.163,-0.930,0.004,-0.129,-0.124,3.8
0.028,-0.11,-1.58,1.158,-0.927,0.001,-0.129,-0.128,0.3
0.032,-0.15,-1.58,1.108,-0.904,-0.038,-0.129,-0.167,3.6
0.032,-0.15,-1.58,1.110,-0.906,-0.040,-0.129,-0.169,0.3
0.036,-0.17,-1.41,1.208,-0.987,-0.015,-0.129,-0.144,3.7
0.036,-0.17,-1.41,1.207,-0.988,-0.016,-0.129,-0.145,0.3
0.039,-0.22,-1.41,1.204,-0.993,-0.025,-0.129,-0.153,2.3
0.039,-0.24,-1.41,1.204,-0.993,-0.026,-0.129,-0.154,0.2
0.043,-0.26,-1.41,1.202,-1.003,-0.044,-0.129,-0.173,3.9
0.043,-0.26,-1.41,1.203,-1.004,-0.045,-0.129,-0.174,0.3
0.047,-0.31,-1.23,1.296,-1.080,-0.014,-0.129,-0.143,3.7
0.047,-0.31,-1.23,1.293,-1.079,-0.016,-0.129,-0.145,0.3
0.050,-0.33,-1.23,1.265,-1.066,-0.032,-0.129,-0.161,2.7
0.050,-0.33,-1.23,1.264,-1.065,-0.034,-0.129,-0.162,0.2
0.053,-0.37,-1.23,1.252,-1.064,-0.050,-0.129,-0.179,3.1
0.053,-0.37,-1.23,1.252,-1.065,-0.051,-0.129,-0.180,0.3
0.057,-0.42,-1.23,1.264,-1.083,-0.064,-0.129,-0.192,3.7
0.057,-0.42,-1.23,1.266,-1.085,-0.065,-0.129,-0.193,0.3
0.061,-0.48,-1.05,1.379,-1.173,-0.024,-0.129,-0.152,3.8
0.061,-0.48,-1.05,1.376,-1.172,-0.025,-0.129,-0.153,0.3
0.065,-0.52,-1.05,1.333,-1.148,-0.045,-0.129,-0.174,3.7
0.065,-0.52,-1.05,1.330,-1.147,-0.046,-0.129,-0.175,0.3
0.069,-0.59,-1.05,1.316,-1.144,-0.064,-0.129,-0.192,3.7
0.069,-0.59,-0.88,1.321,-1.148,-0.061,-0.129,-0.190,0.2
0.073,-0.66,-0.88,1.405,-1.214,-0.028,-0.129,-0.156,3.8
0.073,-0.66,-0.88,1.402,-1.213,-0.029,-0.129,-0.157,0.2
0.077,-0.74,-0.70,1.428,-1.236,-0.002,-0.129,-0.131,4.0
0.077,-0.76,-0.70,1.421,-1.232,-0.004,-0.129,-0.133,0.3
0.080,-0.85,-0.70,1.372,-1.200,-0.017,-0.129,-0.146,2.4
0.080,-0.87,-0.53,1.373,-1.201,-0.015,-0.129,-0.144,0.2
0.084,-0.92,-0.53,1.369,-1.201,-0.000,-0.129,-0.129,3.8
0.084,-0.94,-0.53,1.363,-1.197,-0.002,-0.129,-0.131,0.2
0.088,-1.03,-0.35,1.356,-1.194,0.020,-0.129,-0.108,3.8
0.088,-1.03,-0.35,1.347,-1.188,0.017,-0.129,-0.111,0.2
0.092,-1.14,-0.18,1.310,-1.162,0.033,-0.129,-0.096,3.7
0.092,-1.14,-0.18,1.301,-1.155,0.030,-0.129,-0.099,0.2
0.096,-1.25,-0.18,1.179,-1.069,-0.001,-0.129,-0.129,3.7
0.096,-1.25,0.00,1.179,-1.069,0.000,-0.129,-0.128,0.3
0.100,-1.36,0.00,1.185,-1.073,0.022,-0.129,-0.106,3.8
0.100,-1.36,0.00,1.177,-1.068,0.020,-0.129,-0.108,0.3
0.104,-1.46,0.18,1.175,-1.064,0.048,-0.129,-0.080,3.7
0.104,-1.46,0.18,1.163,-1.056,0.046,-0.129,-0.083,0.3
0.108,-1.57,0.18,1.050,-0.974,0.021,-0.129,-0.107,3.7
0.108,-1.57,0.18,1.042,-0.968,0.019,-0.129,-0.110,0.3
0.112,-1.68,0.35,1.056,-0.975,0.047,-0.129,-0.082,3.7
0.112,-1.70,0.35,1.048,-0.970,0.045,-0.129,-0.083,0.3
0.116,-1.79,0.35,0.962,-0.905,0.030,-0.129,-0.099,3.8
0.116,-1.79,0.35,0.956,-0.901,0.028,-0.129,-0.101,0.3
0.119,-1.88,0.35,0.919,-0.873,0.019,-0.129,-0.109,2.5
0.119,-1.88,0.53,0.923,-0.875,0.023,-0.129,-0.106,0.4
0.123,-1.95,0.53,0.949,-0.891,0.053,-0.129,-0.076,3.6
0.123,-1.95,0.53,0.936,-0.881,0.050,-0.129,-0.079,0.5
0.126,-2.01,0.53,0.888,-0.844,0.042,-0.129,-0.087,2.4
0.126,-2.03,0.53,0.879,-0.837,0.040,-0.129,-0.089,0.5
0.129,-2.05,0.70,0.887,-0.840,0.060,-0.129,-0.068,2.5
0.129,-2.08,0.70,0.885,-0.838,0.060,-0.129,-0.068,0.1
0.133,-2.12,0.70,0.820,-0.787,0.058,-0.129,-0.071,3.8
0.133,-2.12,0.70,0.814,-0.783,0.056,-0.129,-0.072,0.2
0.137,-2.19,0.70,0.737,-0.723,0.039,-0.129,-0.089,3.8
0.137,-2.19,0.70,0.735,-0.721,0.039,-0.129,-0.090,0.1
0.139,-2.25,0.88,0.763,-0.737,0.063,-0.129,-0.065,2.2
0.139,-2.25,0.88,0.761,-0.736,0.064,-0.129,-0.065,0.2
0.143,-2.27,0.88,0.716,-0.697,0.068,-0.129,-0.061,3.8
0.143,-2.27,0.88,0.712,-0.695,0.067,-0.129,-0.062,0.2
0.147,-2.27,0.88,0.619,-0.621,0.044,-0.129,-0.084,3.9
0.147,-2.27,0.88,0.617,-0.620,0.044,-0.129,-0.085,0.2
0.151,-2.27,0.88,0.580,-0.586,0.034,-0.129,-0.095,3.8
0.151,-2.27,0.88,0.579,-0.585,0.034,-0.129,-0.095,0.2
0.155,-2.27,0.70,0.499,-0.522,-0.010,-0.128,-0.139,3.9
0.155,-2.27,0.70,0.503,-0.525,-0.010,-0.128,-0.138,0.2
0.157,-2.27,0.70,0.545,-0.552,-0.000,-0.129,-0.129,2.2
